AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00141867          81S   118C   256S   330S   466S   513S   423S   411C   321S   246S   187C   109S
USC00141874          59Q    78Q   208Q   267Q   435Q   434Q   407Q   314Q   270Q   206Q   127Q    89Q
USC00141875          61S    80C   207S   247C   364C   348C   423C   331C   247C   173C   125S    89S
USC00141941          57Q    82Q   206Q   308Q   466Q   488Q   417Q   331Q   303Q   215Q   136Q    90Q
USC00141999          56C    67C   181C   223C   358S   305C   377C   300C   178C   169C   104C    73C
USC00142086          44S    62S   151S   217S   370S   269S   342S   273S   162C   173S    90S    59S
USC00142135          81S   112C   237C   307C   459C   510C   374C   401C   308S   248C   179C   107C
USC00142213          47S    57S   140C   202C   344C   301C   366S   266C   157S   151S    87C    66C
USC00142267          92S   139S   264S   317S   507S   535S   457S   406S   313C   267S   204S   133S
USC00142276          84Q   122Q   264Q   318Q   501Q   466Q   435Q   392Q   316Q   245Q   171Q   112Q
USC00142329          92Q    99Q   229Q   334Q   563Q   458Q   403Q   387Q   434Q   328Q   205Q   151Q
USC00142388          90R   110R   219C   349S   488C   535C   472S   369C   423C   296C   191S   147R
USC00142396          84Q   133Q   282Q   313Q   471Q   573Q   399Q   411Q   339Q   287Q   195Q   115Q
USC00142401          93S   152S   274S   320S   491C   569S   410S   400S   345S   333S   190S   132S
USC00142409         132S   175S   335S   375S   624R   571R   374R   338R   412R   422R   243R   192R
USC00142432          49S    47S   142S   144S   232S   297S   233S   286S   146S   145S    55S    56S
USC00142452          60S    68S   181S   201C   334S   266C   368C   283S   191C   160C   100C    85C
USC00142459          62R   106R   235R   243R   450R   393R   363R   394R   305R   220R   111R    93R
USC00142472          87Q   126Q   240Q   323Q   501Q   511Q   450Q   345Q   344Q   275Q   189Q   122Q
USC00142478          85R   122R   275R   278R   466R   483R   415R   391R   285R   241R   167R   124R
USC00142519          81R   109R   235R   317R   486R   508R   395R   412R   349R   292R   169R   114R
USC00142548          89S   121S   252S   332S   535S   576S   452R   418S   326S   307S   202S   129S
USC00142574         104R   127S   268S   313S   483S   487S   395S   408S   279S   246S   171S   129S
USC00142582         160R   182R   310R   418R   589R   593R   422R   320R   470R   413R   268R   215R
USC00142592          59R    75R   217R   253R   440R   312R   399R   322R   214R   214R   138R    82R
USC00142602          89R   135R   283R   358R   527R   559R   394R   433R   360R   272R   209R   127R
USC00142622         107S   157S   276S   343C   532S   600C   425S   434S   346S   333S   256S   160C
USC00142652          58R    80S   198S   269S   418S   440S   457S   347S   286S   196S   141S    82S
USC00142686          90R   155S   290S   375S   530S   631S   398S   430S   348S   357S   220R   157R
USC00142773          82R   114S   268R   279S   469S   510S   373S   368S   328S   268S   176S   101S
USC00142835         140S   189S   295S   464C   571S   614S   462S   358C   472S   426C   299C   214S
USC00142848          72S   109C   231C   303C   482C   531C   480C   389C   323C   262S   166C   104C
USC00142872          87R   128R   250R   297S   473S   510S   439S   357S   347S   263C   164S   111R
USC00142894         128R   161R   284R   382S   574R   616R   374R   461R   436R   394R   258R   196R
USC00142938          58Q    80Q   206Q   226Q   364Q   377Q   398Q   324Q   281Q   176Q   100Q    81Q
USC00142945         158R   188S   325S   450S   620S   608C   446C   344S   445S   411C   283S   210S
USC00142980          47S    52S   123S   174C   300S   310C   280C   251C   142C   122S    54C    60R
USC00143008         121S   185S   267S   398S   503S   588S   430S   402S   392S   361S   250S   190S
USC00143037          65R   104R   215R   212R   414R   403R   349R   345R   213R   202R    92R    76R
USC00143074         167R   219R   365R   433R   644R   572R   396R   322R   479R   416R   314R   245R
USC00143088          71Q    99Q   187Q   246Q   435Q   292Q   361Q   313Q   255Q   208Q   121Q    78Q
USC00143100          57S    66S   180S   233S   372R   405S   420S   290S   252S   187S   117S    90S
USC00143134          76R   106R   258R   290R   484R   509R   365R   350R   302R   245R   176R   102R
USC00143138          77S   125S   253S   346S   474S   481S   431S   390S   366S   272S   170S   112S
USC00143156          37Q    47Q    96Q   163Q   271Q   341Q   325Q   287Q   133Q   145Q    68Q    39Q
USC00143175          55S    54S   127S   208S   348S   263S   420C   242C   159S   142C    64S    50S
USC00143218          61S    83S   194S   236C   438S   397S   341S   333S   196S   205S    97S    85S
USC00143239          56S    74S   210S   198S   326S   421S   315S   316S   210S   218S    95S    84S
USC00143248         100S   174S   299S   370S   552S   610C   329C   374C   364S   348C   241C   173S
USC00143257         108R   169R   280R   378R   527R   591R   401S   382R   399R   330S   242S   159S
USC00143323          59S    88S   200C   276C   460C   478C   396C   370C   310C   216C   135C    95S
USC00143331         139R   186R   308R   423R   700R   570R   349R   321R   406R   391R   260R   187R
USC00143366          75Q   115Q   268Q   295Q   471Q   483Q   394Q   359Q   296Q   266Q   167Q   106Q
USC00143398          63R   106R   227R   278R   468R   538R   463R   342R   327R   206R   128R    86R
USC00143467         114R   144R   269R   342R   494R   571R   349R   394R   365R   295R   212R   129R
USC00143523          51R    67R   174R   221R   319R   338R   434R   308R   210R   161R    90R    61R
USC00143527          50S    71S   181C   214S   326C   283S   392S   304C   205C   158S    89S    72S
USC00143545          94Q   132Q   294Q   312Q   521Q   583Q   372Q   361Q   303Q   301Q   197Q   126Q
USC00143554          51S    64C   140S   212C   337C   293C   309C   278C   192S   155C    84S    64S
USC00143594          90R   126S   273S   324S   524S   485S   396C   419C   324C   253C   184S   127S
USC00143620          80Q   117Q   273Q   286Q   481Q   518Q   420Q   382Q   298Q   253Q   167Q   107Q
USC00143634          78R   115S   217S   339S   466S   472S   416S   377R   363S   266S   189S   119R
USC00143665          54S    70S   171S   202S   366S   281S   359S   298S   195S   157S    97S    67S
USC00143667          80S   124S   249S   319S   498S   474S   430S   403S   325C   253S   171S   105C
USC00143686         116R   163R   251R   378R   581R   615R   406R   416R   469R   382R   247R   154R
USC00143759          92S   132R   242S   358C   482S   551S   439S   410S   395S   343S   200S   135R
USC00143810          82S   127S   236S   363S   529C   529S   469S   384S   384C   315C   193S   138S
USC00143822         105S   174S   290C   366C   527S   597S   365S   377C   369C   359C   236S   174S
USC00143837          52S    60S   137S   211S   344S   237C   346S   278S   138S   141S    85C    63S
USC00143842         113R   125R   254R   360R   533R   557R   421R   422R   411R   318R   212R   151R
USC00143847          76S   104S   224S   251C   446C   389C   365C   315C   192C   222S   111C    96S
USC00143855          46S    39S   119S   144S   256S   359S   255C   262C   178S   134S    57S    65S
USC00143867         144R   181R   319R   414R   574R   603R   490R   448R   430R   366R   277R   189R
USC00143897          69R    77R   193R   225R   379R   375R   454R   320R   231R   180R   124R    91R
USC00143929          79R   125R   258R   270R   468R   457R   409R   336R   266R   244R   132R   117R
USC00143930          69C   108S   256C   272C   444S   486C   376C   314C   267C   234C   133C   102C
USC00143954         152S   186S   347S   415C   651S   634S   377C   363S   447S   431S   258S   244S
USC00143974          82C   109C   289C   280C   490C   461C   419C   359C   266C   264C   148C   106C
USC00143984         128C   160S   305C   410C   566S   575C   482C   366C   431S   378C   262C   178S
USC00143997          59C    63C   192C   231C   408C   360C   414C   291C   232C   176S   111C    82C
USC00144073          50R    55R   132R   196R   368R   278R   320R   252R   174R   137R    77R    68R
USC00144087          65S    75S   179S   199S   336S   340S   331S   264S   176S   164S    84C    84S
USC00144089          57S    90S   189S   251S   390S   392S   412S   273S   238C   186C   116S    88S
USC00144104          97R   126R   245R   362S   465R   540R   476S   388S   343S   327R   222S   159S
USC00144114          49R    38R   107R   119R   195R   236R   257R   314R   171R   136R    59R    58R
USC00144161          53S    58C   156S   180C   285C   348C   301C   260C   149C   144C    66C    67C
USC00144166          48R    54R   126R   174R   297R   325R   269R   289R   138R   128R    65R    57R
USC00144178          64R    95S   213S   249S   403S   416S   372S   362S   248S   213S   109S    78R
USC00144313          81S   121S   282S   278S   446C   480S   349S   338S   286S   300S   151S   110S
USC00144333          66S    83S   219S   236S   367S   382S   360S   355S   206S   201S    99S   106S
USC00144357          49Q    72Q   186Q   228Q   405Q   331Q   399Q   310Q   209Q   181Q   107Q    74Q
USC00144421         130R   180S   296S   395S   585C   592C   439S   321S   410S   368C   276S   186R
USC00144464          34S    44S    98C   155C   254C   319C   288C   265C   157S   144S    60S    60C
USC00144488         144Q   155Q   277Q   402Q   574Q   596Q   423Q   388Q   399Q   375Q   262Q   161Q
USC00144530          62R    82R   186S   216S   368S   464R   375R   285S   168R   188S    94R    91R
USC00144559          98S   136S   271R   406C   536S   588S   414S   405S   420S   335S   220R   160S
USC00144588         103S   147R   274S   404R   538S   592S   520S   449S   482S   378R   245R   159R
USC00144598          63C    78C   212S   242C   421C   374C   440C   313S   210S   209S   130S    80C
USC00144608         109C   140C   261S   359S   560S   567S   470C   446C   366C   331C   250C   146C
USC00144613         104S   127S   276S   375S   529S   571S   394S   423S   384C   331S   222S   161S
USC00144642          40R    50R   161R   215R   373S   254S   366S   249S   167S   160S    91R    67R
USC00144665          42S    53S   138R   200S   257S   258R   290R   279S   157S   147S    65S    57R
USC00144675         111R   159R   310S   392S   540C   611S   435S   412C   405C   379C   243S   171R
USC00144695          45S    65S   134S   169S   269S   301S   297C   223S   183C   191C    78S    70S
USC00144708          66S   101C   230S   311C   487C   547C   450C   384C   339C   247C   162C   107S
USC00144712          67S   101C   211C   267C   423C   383C   396C   379C   249C   189S   120C    89S
USC00144729          80R   119R   265R   328R   515R   507R   490R   440R   349R   266R   173R   110R
USC00144735          83S   116S   246S   275S   405S   426S   409S   352S   247S   227S   144S   100S
USC00144775          43S    60C   171S   203C   373C   276C   367S   285C   159C   182C    86S    68S
USC00144802          78R   105S   221S   270R   452R   389R   391S   410S   290S   237S   131R   115R
USC00144807          48C    69C   190C   231C   416C   319C   381S   297S   183S   193S    98S    60C
USC00144812         129S   182S   309S   409C   587C   667C   399C   373C   429C   373C   256S   193C
USC00144821          52C    70C   171C   231S   375C   327C   376C   299C   203S   147C    92C    78S
USC00144857          54S    67S   189S   250S   403S   383C   413S   316S   258C   191S   124S    81S
USC00144893          63Q    80Q   193Q   249Q   381Q   372Q   402Q   343Q   247Q   182Q   112Q    78Q
USC00144912          90R   124R   275R   381R   529R   496R   380R   382R   451R   314R   248R   138R
USC00144937         107S   145S   266S   334C   525S   593S   467S   432C   338C   336C   256S   159S
USC00144972          63S   108S   249C   317C   509S   570S   442S   412C   343C   269S   173S   107S
USC00144982          67S    79S   214S   265S   431S   357S   406S   318S   247S   202S   125R    88S
USC00145039          77S   107S   244S   314S   503C   497C   390S   412S   350C   267C   167S   105S
USC00145063          72S    98S   246S   293S   450C   538S   462S   389S   327S   236S   151S   103S
USC00145069          85S   124S   272S   324C   459C   547S   418S   406S   334S   312C   208S   122S
USC00145115          56S    72S   180S   203S   320R   339S   346S   314R   179S   166S    86R    71S
USC00145127          52C    55C   131C   213C   360C   324C   322C   273C   135C   167C    85C    58C
USC00145132          76C   111C   228S   350C   503C   525C   467C   478C   354C   272C   181C   115C
USC00145152          79S   119S   269S   287C   498S   495C   394C   360C   286S   245S   143C   104S
USC00145171          69S    70S   179S   177S   279S   380S   322S   205R   181R   214S    67S    86S
USC00145173          68R   108R   264R   254R   422R   443R   282R   321R   222R   250R   167R    82R
USC00145210          92R   138R   276R   366S   549S   569S   476S   372S   416S   318R   236R   139R
USC00145306          64S   109S   238S   293S   477S   485S   408C   393S   310S   269S   147S   101S
USC00145321          88Q   127Q   272Q   358Q   519Q   547Q   443Q   418Q   351Q   288Q   210Q   141Q
USC00145335          72C   108S   236S   283C   457C   423S   403S   347S   325S   217S   129S   116S
USC00145355          48S    45S   107C   193S   293S   226C   359C   274C   125S   153S    75C    48S
USC00145363          81S   111S   231S   245S   464S   413S   436S   407R   249S   233S   124S   115S
USC00145421          49R    59R   171R   167R   292R   343R   261R   309R   194R   180R    66R    78R
USC00145463         132S   183S   313S   424S   560S   574S   437S   371S   393S   381S   286S   187S
USC00145483          51R    69R   164R   196R   370R   251R   375R   277R   178R   154R    96R    61R
USC00145528         142S   200R   309S   428S   546S   590R   418R   386R   424R   389R   288R   201R
USC00145536         165S   195R   347S   432C   660S   598S   383C   354S   487S   414C   298C   228S
USC00145539          89S   130S   284S   280C   441C   497S   353S   364S   302S   262S   167S   114S
USC00145628          69C    85S   193C   229C   354S   357C   389C   355C   211S   185C   115C    87C
USC00145632         147Q   181Q   287Q   427Q   585Q   673Q   468Q   365Q   444Q   425Q   300Q   187Q
USC00145692          53R    67R   174S   194S   308S   306S   352C   280S   184C   146S    88S    74R
USC00145744          78S   112S   271S   284S   445S   495S   363S   345S   307S   260S   181C   104S
USC00145768          57R   100R   203R   260R   471R   370R   390R   381R   265R   242R   113R    85R
USC00145787          42R    44R   121R   183S   355S   288S   382S   259S   166S   154S    72R    43R
USC00145852          42R    51R   161R   279R   441R   332R   381R   314R   186R   212R    98S    87R
USC00145856          62S    63S   165C   228S   389S   278C   339C   255S   160S   175C    98S    66C
USC00145863          57Q    66Q   201Q   255Q   425Q   476Q   396Q   325Q   267Q   201Q   120Q    65Q
USC00145870          83R   118R   275R   306S   442R   504R   308R   336R   261S   294R   158R   108R
USC00145888          47S    50S   117R   185S   304S   233S   385S   257S   153S   145S    82S    49R
USC00145892          45R    51R   114R   149R   318R   262R   363R   237R   171R   128R    59R    41R
USC00145906          45S    64S   142S   218S   359S   328S   339S   280S   158S   169S    89S    61S
USC00145920          55S    74S   179S   208C   332C   315C   316C   344C   215C   181C    87S    91S
USC00145972         128S   166S   269S   400S   541S   591S   439S   396S   471S   338S   269S   178S
USC00146014          74R   109R   227S   308S   493S   546S   443S   383S   328S   252S   167S   109R
USC00146076          91R   139R   302R   394R   583R   561R   430R   400R   387R   311R   252R   147R
USC00146084         108S   156C   282S   361S   523C   586S   428C   338S   395C   350S   253S   162S
USC00146088          54R    59R   187R   252R   375R   335R   376R   255R   373R   192R   112R    71R
USC00146100         106R   125R   260S   347S   556S   553S   436C   421S   419S   311S   209S   160R
USC00146115         177C   210C   343C   428C   640C   566C   381C   318C   485C   379C   341C   248C
USC00146128         123S   147S   267C   384C   541S   563S   409C   404C   412S   332C   270S   178S
USC00146154         111R   137R   282R   353S   526S   573S   441S   400S   380S   331S   235S   148R
USC00146169         104S   165R   284S   294S   502S   559S   359S   381S   281S   332S   226S   133S
USC00146192          51R    72R   189R   226S   363S   303C   372S   300S   187S   176S   109S    67S
USC00146209         128S   169S   277S   392S   580S   653S   405S   409S   437S   355S   255S   177S
USC00146217          72S   111S   228S   297C   449C   466S   398S   383S   303S   226S   158S   114S
USC00146242         141R   177S   319S   438S   593S   553C   392S   329C   469C   386C   294S   206S
USC00146292          80Q   119Q   261Q   312Q   469Q   512Q   428Q   401Q   327Q   279Q   182Q   115Q
USC00146305          95S   135S   295S   302C   484S   579C   413C   362C   299C   280C   181S   129S
USC00146333          93S   110S   253S   383C   543S   585S   437C   422C   424S   308S   210S   150R
USC00146340          95R   123R   269R   286R   449R   489R   382R   318R   259R   292R   192R   110R
USC00146378          46R    77R   213R   228R   439R   302R   351R   307R   181R   194R   139R    65R
USC00146414         176R   224S   338S   414S   647S   633S   409S   340C   531S   389C   356S   232S
USC00146435          59R    69S   191R   214R   357S   320S   412R   342R   210S   168S   119R    82S
USC00146498         112R   145R   265R   381S   526S   582C   379S   394S   432S   320R   257S   156S
USC00146524          85S   119R   264S   328C   481S   560S   453S   375S   322C   298S   202S   119S
USC00146549          69S    96S   243R   258S   368S   440S   303S   337S   238S   228S   118S    96S
USC00146573          77Q   113Q   289Q   264Q   447Q   459Q   396Q   356Q   271Q   289Q   137Q   109Q
USC00146637          54R    73S   167S   228R   376S   291S   405R   263R   174S   157S    94R    80R
USC00146679          66R   105R   219R   272R   463R   459R   394R   404R   288R   232R   170R   100R
USC00146685          58S    59S   156C   189S   313S   297C   348S   250S   175C   156S    95C    75S
USC00146725         118R   140R   287R   353R   541R   534R   442R   407R   372R   266R   232R   148R
USC00146787          40S    49C   121C   215S   350C   281C   379C   292C   134C   148C    81C    59C
USC00146808          40R    45S   108R   136R   256S   274S   244S   262S   158S   154S    50S    57R
USC00146813          33C    33C    99C   112C   211C   264S   248C   272S   180C   137C    53S    50S
USC00146907         111Q   155Q   316Q   343Q   514Q   657Q   451Q   375Q   320Q   331Q   216Q   140Q
USC00146979          83C   140S   254S   334S   513C   554S   361S   425S   369S   342C   213C   139C
USC00147007          81S   107C   249C   346C   504S   536C   449C   446C   406C   288C   187C   122C
USC00147049          44R    56R   121R   157R   278R   271R   303R   248R   130R   133R    67R    46R
USC00147050          26R    37R   104R   200R   263R   199R   288R   230R   123R   117R    79R    46R
USC00147075          83R   114R   278R   339R   495R   512R   459R   333R   354R   320R   238R   117R
USC00147093          45S    44S    99S   168S   284C   244C   290C   255S   132S   134S    64S    43S
USC00147095          44C    53C   114C   202S   293C   272C   302C   221C   124C   127C    66C    48C
USC00147140          68S    77S   170S   228S   382S   280C   349C   271S   201S   141S   103S    75S
USC00147192          59Q   101Q   182Q   200Q   324Q   365Q   358Q   269Q   191Q   177Q    82Q    80Q
USC00147248          45R    74R   212S   296S   421S   381S   424S   326S   284S   214S   126S    79R
USC00147271          58C    57C   129S   194C   279C   291C   295S   271C   159S   138C    74C    70C
USC00147305         130S   178S   322S   394C   662S   581C   343S   301C   408C   411C   260S   196C
USC00147313          73R   116R   279R   276R   483R   439R   318R   350R   304R   287R   185R   108R
USC00147397          46C    59S   127C   168C   279C   285C   347C   264S   139C   133C    74S    56S
USC00147407         106Q   140Q   270Q   398Q   622Q   552Q   435Q   398Q   390Q   360Q   241Q   159Q
USC00147534          88R   140R   266R   322R   633R   634R   423R   373R   335R   344R   195R   152R
USC00147542          49C    58C   187C   227C   392C   361C   387C   330C   204C   188C   122C    66C
USC00147551          65Q   109Q   254Q   291Q   468Q   425Q   386Q   366Q   274Q   245Q   130Q   103Q
USC00147796          81S    94C   252C   247C   426C   433C   369C   348S   246C   242S    99C    93S
USC00147809         137C   176C   261S   422S   596S   581S   418S   414S   468S   357S   262S   177S
USC00147832          47R    62R   185R   216R   355R   320R   396R   329R   189R   164R   112R    72R
USC00147904          46S    44S   127S   212C   359C   255S   333C   252C   184C   147C    85S    48R
USC00147922          40S    45S   122S   146S   249S   314S   241C   258S   153S   146S    67S    61S
USC00147965          76Q   103Q   262Q   251Q   425Q   435Q   345Q   347Q   299Q   243Q   122Q   102Q
USC00147968          70R    97R   244R   228R   371R   463R   253R   405R   252R   213R   109R    86R
USC00148026          61Q    84Q   190Q   250Q   429Q   387Q   420Q   362Q   258Q   193Q   127Q    98Q
USC00148038          42S    45S   111S   133S   206S   236S   300S   258C   127S   115S    54S    55C
USC00148061          85Q   125Q   252Q   317Q   510Q   519Q   430Q   408Q   327Q   286Q   196Q   117Q
USC00148086          80S   105S   232S   279S   422S   385C   456C   317S   296S   232S   118S    86S
USC00148114          85S   145R   253S   320S   495S   597S   403S   406S   352S   310S   234S   140R
USC00148156         120C   136S   253C   386S   499C   553S   421C   406C   455C   317C   213S   162C
USC00148235          49C    52S   122C   145C   238C   294C   285S   233C   118C   149C    55C    50C
USC00148240          39Q    52Q   121Q   168Q   278Q   275Q   301Q   272Q   129Q   149Q    61Q    44Q
USC00148245          67C    83S   214C   222C   426C   423C   309C   315C   197C   222S    96C    89C
USC00148250          89C   127C   236S   356C   533S   518S   432S   421C   364C   316S   193C   138C
USC00148257          70R    94R   267R   245R   399R   410R   387R   305R   211R   253R   124R   103R
USC00148259          48S   106R   215R   296S   484C   523C   419C   401C   304C   247S   156S    96S
USC00148287          46S    40S   107S   137S   212S   270S   240S   266C   158S   141S    55C    54S
USC00148293         145R   220R   331R   438R   544R   548R   429R   389R   460R   440R   265R   214R
USC00148323          60S    74S   170S   187S   325C   334C   385C   260C   171S   154C    88S    79S
USC00148341         100S   133S   245S   356S   566S   563S   363S   434S   438S   317S   203S   148S
USC00148495          64C    80C   172C   213C   350S   293C   377C   280C   206S   159C    99S    74S
USC00148498          44S    60S   146S   207C   356S   246S   368S   271S   179S   144S    83S    71S
USC00148503          66R    86S   226S   295S   444R   420S   384S   420S   327S   250S   151R   100R
USC00148535          39Q    48Q   117Q   166Q   272Q   265Q   388Q   277Q   160Q   147Q    67Q    54Q
USC00148549         169S   197S   322C   452S   599S   630S   449S   341S   494S   420S   300S   231S
USC00148563          69S   117S   229S   309S   470S   549S   441S   419S   298S   258S   179S   109S
USC00148578          73S   106S   217S   312S   437S   517S   418C   388C   337C   215C   159S   109S
USC00148648          52R    64R   165R   234R   361R   291R   400R   335R   196R   165R   103R    74R
USC00148670         100S   136S   293S   296C   474C   553C   356S   372S   258S   316S   192S   124S
USC00148802          80S   111S   251S   332C   498S   504C   414C   405S   316S   257S   181S   119S
USC00148892         108S   143R   275S   421S   552S   543S   452C   365C   428C   344C   262S   172S
USC00148911          76R   116R   272R   265R   449R   479R   414R   408R   283R   261R   164R   115R
USC00148914          67R    97R   224R   221R   341R   394R   267R   328R   233R   213R   115R    99R
USC00148935          57Q   153Q   367Q   333Q   506Q   530Q   436Q   460Q   301Q   271Q   206Q   133Q
USC00148946          56R    76R   172S   244S   362C   369C   379S   364C   228C   180S   104S    69R
USC00148950          79Q   118Q   253Q   282Q   455Q   447Q   380Q   347Q   265Q   240Q   134Q    98Q
USC00148964         124S   177S   318S   345S   583S   604S   380S   398S   335S   343S   244S   171S
USC00148988          38R    47R    96R   166S   294S   261S   348S   253R   126S   143S    74S    49R
USC00149020          89Q   125Q   256Q   317Q   509Q   533Q   458Q   402Q   346Q   293Q   195Q   125Q
USC00149026          65R   104R   223S   329S   488S   485S   436S   379S   351S   260S   182S    94R
USC00149040         126R   120R   275R   364R   489R   630R   374R   399R   396R   326R   262R   156R
USC00149080         115R   172R   309R   395S   554S   647S   461R   395S   428S   403S   251S   178R
USC00149202          87Q   104Q   250Q   272Q   430Q   494Q   368Q   387Q   241Q   261Q   138Q   100Q
USC00150012         400S   460C   467S   460C   572C   425S   450C   341C   368C   393C   458C   557S
USC00150063         431R   456S   448R   445S   526S   432S   457S   428R   353S   335S   431S   513R
USC00150254         311R   325R   391R   358S   484S   412R   485R   370S   284S   288S   337S   368R
USC00150381         403S   390S   422S   427S   514S   449S   513S   421S   352S   299C   415S   471S
USC00150397         357R   384R   460R   416R   565R   448R   442R   366R   345R   327R   404R   465R
USC00150402         365R   398R   453R   507R   557S   467R   473S   333S   378S   471R   483R   495R
USC00150422         361S   405S   419S   435S   579S   450C   503C   366S   344C   360C   415S   485S
USC00150450         403S   398S   434C   416S   504S   441S   472S   415C   339C   289S   383C   445C
USC00150483         361Q   363Q   400Q   424Q   508Q   456Q   488Q   347Q   343Q   320Q   385Q   429Q
USC00150490         346R   424S   434R   450S   542R   374S   431R   332R   357R   376R   419R   469R
USC00150619         291R   343R   411R   371S   526R   465R   474R   358R   358R   329R   381R   409R
USC00150630         350R   357R   480R   417S   545S   441S   419S   309S   320S   378S   395R   440R
USC00150700         405S   413S   422S   438S   525S   425S   455S   411S   333S   282S   381S   455S
USC00150804         335R   327R   450R   405S   544S   456S   417S   342S   294S   324S   377S   369R
USC00150858         373Q   377Q   404Q   401Q   563Q   494Q   472Q   391Q   379Q   317Q   392Q   421Q
USC00150860         376Q   379Q   411Q   409Q   535Q   469Q   433Q   349Q   358Q   302Q   389Q   443Q
USC00150875         322S   360C   401S   367S   547S   349C   450S   298C   308S   339C   362C   431S
USC00150904         406R   414R   455S   447C   576S   422S   452S   341S   387S   370S   425C   548S
USC00150906         325S   370S   434S   422S   532S   421R   378S   300S   397R   335R   412S   488R
USC00150940         379C   412C   461C   420C   552C   475S   470S   359S   388C   331S   383C   456C
USC00150955         343Q   373Q   448Q   429Q   577Q   416Q   417Q   385Q   318Q   352Q   407Q   475Q
USC00151080         402R   378R   434R   361R   415R   469R   449R   442R   315R   297R   375R   434R
USC00151090         320R   396R   454R   469R   532R   343R   423R   304R   291R   356R   353R   447R
USC00151120         343R   397R   408R   394R   486R   386R   404R   404R   346R   284R   317R   345R
USC00151137         362R   421R   429R   403R   497R   386R   440R   360R   413R   378R   408R   481R
USC00151208         394Q   417Q   439Q   480Q   572Q   437Q   437Q   327Q   347Q   384Q   455Q   553Q
USC00151210         394S   438R   435S   489C   581C   449S   425S   332C   355C   384S   443S   542S
USC00151227         321S   345S   395C   423S   524S   341S   404S   275S   311C   312C   372C   404C
USC00151251         336Q   303Q   375Q   395Q   588Q   434Q   414Q   434Q   312Q   349Q   433Q   389Q
USC00151294         392S   445R   457R   464R   570S   388S   422S   360S   363S   405S   458S   523S
USC00151306         377R   486R   418S   428S   590R   414S   477S   320S   366S   377S   442S   491R
USC00151318         323R   327R   373R   374R   460R   380R   471R   399R   311R   272R   334R   386R
USC00151391         356R   418R   456R   369R   587R   494R   407R   320R   432R   340R   398R   448R
USC00151517         310Q   310Q   362Q   367Q   477Q   412Q   475Q   356Q   328Q   299Q   331Q   356Q
USC00151640         472C   495S   510S   515S   594S   502S   546S   441S   385S   330S   447S   536S
USC00151725         356S   420S   434S   416S   553S   446S   418C   354S   387S   331S   387C   459C
USC00151727         342R   419R   411R   452R   565R   410R   352R   269R   347R   428R   453R   484R
USC00151810         389Q   353Q   467Q   440Q   572Q   376Q   542Q   428Q   347Q   350Q   396Q   457Q
USC00151890         358R   315R   434R   387S   527S   431R   443R   339R   335S   331S   380S   373R
USC00151895         360Q   364Q   421Q   384Q   562Q   519Q   502Q   344Q   301Q   325Q   372Q   417Q
USC00151900         365R   343R   446R   426R   573R   483R   470R   385R   313R   348R   402R   446R
USC00151927         367Q   422Q   421Q   465Q   559Q   628Q   420Q   335Q   344Q   348Q   424Q   502Q
USC00151948         377Q   417Q   456Q   492Q   537Q   406Q   436Q   289Q   370Q   385Q   476Q   518Q
USC00151965         362R   397R   378R   377R   481R   353R   423R   361R   337R   259R   341R   367R
USC00151998         313R   296R   427R   384R   486R   376R   385R   288S   294S   332S   349R   385R
USC00152040         347S   376S   437S   371S   491S   441S   460S   298S   315S   334S   346S   421S
USC00152072         376C   416C   431C   462C   542C   396S   408C   279C   325C   384C   429C   508C
USC00152214         328S   341R   385S   351S   459S   425S   426S   344S   267R   297R   349R   342R
USC00152250         266R   260R   350R   385R   488R   412R   387R   295R   290R   304R   306R   338R
USC00152358         374R   368R   443R   449R   586R   382R   408R   289R   343R   368R   442R   388R
USC00152366         372R   497R   397R   488R   583R   376R   450R   357R   369R   377R   433R   548R
USC00152409         345R   364R   426R   369R   505R   426R   499R   335R   308R   333R   363R   410R
USC00152442         376Q   420Q   426Q   468Q   532Q   457Q   440Q   326Q   357Q   385Q   458Q   483Q
USC00152500         342R   361R   411S   410R   516R   387S   404S   291S   294S   323S   386S   458R
USC00152512         383R   379R   459R   423R   582R   435R   491R   367R   314R   373R   402R   474R
USC00152548         403R   406R   426R   467R   572R   434R   433R   328R   351R   363R   422R   511R
USC00152575         392Q   430Q   450Q   438Q   573Q   421Q   474Q   390Q   506Q   375Q   425Q   523Q
USC00152775         270R   280R   388R   331S   458R   433R   443R   299S   281S   310S   322S   326R
USC00152791         337S   331S   411S   387S   524C   437C   548S   356C   308C   330S   374S   394S
USC00152825         321S   320S   373S   391R   467S   405C   479S   382S   308S   278S   302S   377S
USC00152903         331Q   321Q   440Q   387Q   521Q   439Q   527Q   348Q   306Q   315Q   369Q   424Q
USC00153006         410R   389R   472R   446R   517R   440R   506R   476R   362R   294R   411R   451R
USC00153030         350R   331R   470R   373R   508R   416R   478R   378R   342R   338R   379R   396R
USC00153052         386R   391R   459R   434R   533R   468R   547R   407R   332R   335R   393R   436R
USC00153112         386R   438R   465R   401R   616R   410R   414R   384R   410R   369R   457R   469R
USC00153194         328S   327S   415S   369S   499S   390S   420R   310S   296S   343S   358R   385S
USC00153203         307R   291R   394R   388R   500R   420R   446R   394R   253R   324R   329R   350R
