AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
RQC00663657         442R   307R   270R   341R   836R   544R   591R   540R   684R   800R   799R   575R
RQC00663904         425S   311C   472S   685S  1079S   644S   507C   704S   861C   814S   692S   418S
RQC00664126         151S   174S   211S   351R   555S   338S   304S   545S   801S   802S   567S   174S
RQC00664193         247R   194R   176R   225S   575R   518R   551R   589S   693S   829S   581R   279R
RQC00664276         357S   271S   317S   425S   576S   447S   580S   737C   849S   736C   716S   495S
RQC00664340         269R   287R   287R   613R   683R   285R   359R   457R   513R   658R   714R   478R
RQC00664702         350R   283S   352S   535S   786S   589S   518R   607S   653S   752S   605S   466S
RQC00664867         471S   388S   338C   443C   723C   589C   695C   700S   870S   979C   879S   540S
RQC00664910         427R   301R   338R   680R   945R   465R   484R   881R  1418R  1098R   818R   398R
RQC00665020         101R   156S   189S   362S   499S   249S   284S   433S   653S   682R   464R   143R
RQC00665064         346S   284S   272S   448S   680S   587S   658S   645C   921S   828S   753S   415S
RQC00665097         251S   212S   219S   343C   514S   270S   313S   523C   620S   729S   571S   233R
RQC00665123         425R   360R   397R   605R   756R   469R   638R   709R   808R   821R   760R   515R
RQC00665693         182Q   179Q   220Q   383Q   408Q   283Q   305Q   400Q   561Q   688Q   539Q   187Q
RQC00665807         465R   316S   306S   526S   757S   345C   459R   466S   572S   601S   763S   588S
RQC00665908         342Q   312Q   384Q   757Q  1203Q   647Q   902Q  1071Q  1164Q  1216Q   760Q   325Q
RQC00666050         425R   337R   269R   396R   597R   557R   638R   693R   899R   904R   909R   594R
RQC00666073         113R   203R   272R   487S   676R   517R   663R   831R   872R   720R   390R   201R
RQC00666083         148S   196S   260S   611S   931S   894S  1203S  1138S  1203S  1065S   690S   194S
RQC00666258         176R   196S   176R   229S   437S   352R   270R   366R   508R   546R   380R   265R
RQC00666270         415R   312R   291R   665R   937R   403R   362R   416R   694R   832R   668R   618R
RQC00666361         369S   271C   357S   531S   767S   501S   475C   528S   603C   630S   588C   443C
RQC00666390         422C   323C   358C   692S  1041C   373C   440C   637S   835C   857S   792S   539S
RQC00666514         569S   368C   451C   804C   852S   317S   461S   570S   898S   825S   851S   565S
RQC00666805         634S   500C   553S   731C  1040C   776C   769S   835C   997C  1079S  1206S   893C
RQC00666900         370R   275R   176R   186R   449R   472R   650R   506R   755R   691R   679R   365R
RQC00666983         247R   205R   273R   478R   609R   291R   292R   558R   980R   994R   629R   271R
RQC00666992        1311R  1060R  1054R  1119R  1813R  1303R  1407R  1524R  1480R  1701R  1888R  1588R
RQC00667292          91S   127C   183C   253C   464S   233C   262C   416C   637S   610S   432S   139C
RQC00667295          83R    83R   122R   194R   372R   214R   147R   258R   455R   503R   328R   142R
RQC00668126         217Q   207Q   245Q   471Q   676Q   566Q   593Q   692Q   807Q   760Q   429Q   331Q
RQC00668144         642R   556R   515S   634R  1115R   870S   892R   961R  1238R  1085R  1285R   918R
RQC00668306         479R   319R   352R   580R   717R   454R   670R   644R   739R   679R   806R   639R
RQC00668814         434Q   303Q   252Q   554Q   805Q   536Q   624Q   585Q   898Q   805Q   918Q   597Q
RQC00668815         538C   433C   434C   561C   977C   903C  1035S   904S  1105S   969S   957S   658S
RQC00668940          98S    90S   101S   206S   392S   225S   245S   374S   675S   649S   430S   142S
RQC00669421         488R   327R   258R   640R   750R   378R   697R   683R   596R   581R   694R   684R
RQC00669432         326R   301R   378R   926R  1127R   598R   500R   955R  1430R  1515R   868R   370R
RQC00669521         447S   323S   327S   550R   721S   445S   628S   732S   836S   728S   752S   567S
RQC00669608         264R   238R   336R   741R   932R   516R   481R   907R   844R   990R   565R   364R
RQC00669774         174S   166C   214C   439S   706S   441S   347S   637R   920S  1025S   537S   156R
RQC00669860         177S   167S   224S   379S   503S   224S   314S   500S   740S   786S   510S   224S
RQW00011603         306R   266R   257R   414R   650R   422R   408R   528R   560R   750R   502R   409R
RQW00011630         264R   237R   203R   298R   607R   419R   461R   431R   634R   632R   596R   452R
RQW00011641         376C   239C   195C   468C   590C   441C   507C   546C   577C   559S   635C   502C
USC00010008         530S   507S   580S   377S   382S   520C   594S   463S   353S   311S   461S   473S
USC00010063         503R   529R   525R   478R   548R   483R   483R   375R   427R   377R   505R   591R
USC00010140         501C   530S   564C   412S   392S   436S   495S   422S   347C   341C   493C   498S
USC00010160         521S   535S   549S   411C   433C   445C   531S   450S   410S   308S   479S   490S
USC00010178         524R   559S   527R   486R   460R   488R   499R   357R   376R   397R   484R   460R
USC00010184         525C   534S   472C   491C   432S   453C   400C   355C   325S   361C   479S   487S
USC00010252         518S   530S   635S   417R   389S   530S   616S   565S   462S   371S   473S   491S
USC00010260         497Q   527Q   512Q   464Q   538Q   444Q   460Q   432Q   462Q   375Q   494Q   588Q
USC00010369         518S   589S   585S   449S   472C   435S   511S   447S   373S   395R   514S   527S
USC00010390         559R   480R   509R   475R   516R   469R   433R   339R   409R   381R   506R   613R
USC00010402         583S   539R   594S   436S   514S   541S   699S   549S   457R   343S   510S   504S
USC00010425         502R   509R   591R   434R   377R   512R   437R   394R   323R   375R   441R   462R
USC00010430         454R   436R   585R   384R   325R   461R   609R   322R   444R   319R   428R   488R
USC00010440         504R   466R   547R   390R   396R   381R   487R   426R   368R   312R   433R   446R
USC00010505         599C   568C   569S   458C   467S   507C   557C   405S   401C   415S   517S   521S
USC00010583         597C   538S   566S   475C   581S   646S   814C   644S   582S   376S   520C   551C
USC00010655         508R   476S   484S   439S   475C   429C   394S   329C   389C   343C   483C   572S
USC00010748         538Q   554Q   530Q   501Q   513Q   486Q   514Q   373Q   409Q   375Q   512Q   538Q
USC00010764         553S   515C   561S   462S   504C   451S   507C   372C   385S   374S   508C   520S
USC00010957         506S   496S   507S   469R   455R   440R   493R   380R   380R   358R   476S   476R
USC00011080         639S   584S   676C   511C   512S   653C   746C   665S   567S   415S   550C   555C
USC00011084         590S   547S   626S   461S   497S   604S   677S   639S   563S   365S   534S   482S
USC00011099         597R   552R   526R   495R   505R   457R   562R   384R   452R   360R   538R   583R
USC00011178         435R   501R   632R   442R   323R   530R   587R   528R   397R   346R   550R   465R
USC00011288         519R   555R   502R   503R   442R   418R   427R   379R   436R   310R   492R   545R
