AQW00061705          44C    48C    53C    29C    10C     1C     2C     1C     4C     7C    21C    33C
USC00011099           0S     0S     0S     0S     5S    67S   127S   112S    34S -7777S     0S     0S
USC00011301           0R     0R -7777R     2R    41R   153R   219R   194R   117R    15R     0R     0R
USC00011324           0R     0R     0R     2R    31R   133R   197R   172R    78R     5R     0R     0R
USC00011490           0Q     0Q     0Q     0Q    10Q    87Q   169Q   141Q    51Q     1Q     0Q     0Q
USC00011566           0R     0R     2R     7R    62R   167R   238R   226R    95R    13R     0R     0R
USC00011620           0S     0S     0S     1S    23S   127S   195S   176S    74S     3S     0S -7777S
USC00011694           0R     0R     0R     1R    16S    95S   163S   146S    58S     2R     0R     0R
USC00011725           0S     0S     0S     1S    37S   135R   196R   176R    84S     7S     0R     0R
USC00011803           0R     0R     0R     0R     5R    38R    93R    93R    28R     0R     0R     0R
USC00012096           0R     0R     0R     0R     4R    47R   114R   114R    31R     0R     0R     0R
USC00012172           0C     0C     0S     0S     3S    47S   117S   112S    32S -7777S     0S     0S
USC00012209           0Q     0Q     0Q     0Q     1Q    43Q    87Q    99Q    27Q     0Q     0Q     0Q
USC00012245           0S     0C -7777C     2C    31C   127C   198S   174S    70S     2S     0C     0S
USC00012675           0S     0S     0S     4S    66S   156S   206S   185S   106S    16S     0S     0R
USC00012730           0S     0S     1S    10R    66S   180S   237R   222S   127S    22R     0S     0S
USC00012758           0S     0S -7777S     2S    46S   138S   189S   179S    88S     8S     0S     0S
USC00012813           0C     0C     0C     1C    31C   140C   210C   209C   111C     9C     0C     0C
USC00012840           0R     0R     0R     2R    13R   101R   189R   176R    57R     0R     0R     0R
USC00012883           0R     0R -7777R     3R    33R   144R   207R   195R    77R     6R     0R     0R
USC00013043           0Q     0Q     0Q     0Q     7Q    74Q   144Q   149Q    50Q     0Q     0Q     0Q
USC00013105           0R     0R     0R     4R    36R   115R   179R   158R    85R     6R     1R     0R
USC00013154           0S     0S     0S     1S    19S   110S   186S   165S    64S     2S     0S     0S
USC00013160           0S     0C     0S     3S    40C   151C   216S   206S   101S     9C -7777C     0C
USC00013251           0S     0S -7777S     5S    70S   171S   227S   202S   113S    17S     0S     0S
USC00013511           0R     0S -7777C     4C    47C   172S   229C   234C   116S    10S     0S     0R
USC00013519           0S     0C     0C     2C    24C   112S   168S   156S    70S     5S -7777S     0S
USC00013573           0R     0R     0R     1R    11R    83R   151R   154R    49R     0R     0R     0R
USC00013575           0R     1R     0R     1R    12R    69R   132R   125R    43R     1R     0R     0R
USC00013620           0S     0S     0S     2S    10S    96S   191S   192S    74S     4S     0S     0S
USC00013645           0C     0C     0C     4S    29S   138C   212C   206C    92C     7C     0C     0C
USC00013655           0Q     0Q     0Q     1Q    13Q    76Q   169Q   171Q    45Q     0Q     0Q     0Q
